Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
eng,FL,IL,,После  этого*@*  моя  подруга  сказала*@*  что  она  благодарит  из  этого  детствия.,что,изъяснение,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IL,,Когда  Алис  читала  мои  сочинении  она  сказала*@*  что  она  думала*@*  что  мои  сочинении  очень  хорошие.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
eng,FL,IL,,Эта  идия  часто  разговариваются*@*  кто- нибуд  считает  что  он  знает  что  такое  друг.,что,изъяснение,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IL,,главным  образом  я  чувствую*@*  что  я  единственная  когда  есть  много  счастливых  людей.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
eng,FL,IL,,Она  подошла  к  девушке*@*  которая  раньше  сказала*@*  что  она  нам  не  будет  поиогать*@*  и  началась  плечать ( был  дождь  из  глаз).,что,изъяснение,гп,д_мест,мест,и,и,3ед,д_мест мест,other
eng,FL,IH,,Хотя  жизнь  её  трудная*@*  Дани  мне  сказала*@*  что  она  знает  семьи  в  ещё  хуже  ситуациях.,что,изъяснение,гп,сущ,мест,и,и,3ед,сущ мест,other
nor,FL,AM,,Она  очень  занята  и  беспокоится  о  тем*@*  что  она  забыла  что-то.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
nor,FL,AM,,Но  когда  они  проверяют  подарки*@*  забыли  кому-нибудь  или  нет*@*  он  вдруг  вспоминает*@*  что  он  забыл  один  подарок.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
nor,FL,AM,,Норвежцы  любят  показывать  окружающим  что  они  рады.,что,изъяснение,гп,сущ,мест,и,и,3мн,сущ мест,other
swe,FL,IH,,Тоже  он  рассказывает*@*  что  он  был  на  концерте   в  Капелле*@*  где   была  большая  программа*@*  с  музыкой  Прокофьева.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
chi,FL,IM,,Он  много  думал*@*  затем  хорошо  понял*@*  что  он  очень  любит  эту  бедную  крестьянку.*@* и  решил  жениться  на  ней.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
eng,FL,IH,,Средние  люди  часто  забыли  ето  и  они  думают  что  они  не  надо  учиться  в  университете  если  они  хотят  быть  успешные.,что,изъяснение,гп,мест,мест,и,и,3мн,мест мест,other
kaz,HL,IL,,Мальчики  ответили  что  хотят  быть:  футболистами*@* адвокатами*@* прокурорами*@* инженерами*@*  архитекторами*@*  а  девушки:  визажистами*@*  моделями*@*  стюардессами  и  т. д  и  тогда  один  ученик  не  сказал  что  хотят  быть  учителем*@* строителем   у  них  мечты  слишком  высокие.,что,изъяснение,гп,сущ,null,и,null,3мн,сущ null,null
swe,HL,AM,,Имеются  приметы  что  людям  которым  перерезают  горло  всё  ещё  надеются   что  они  смогут  убежать   и  просят  о  милости.,что,изъяснение,гп,сущ,мест,и,и,3мн,сущ мест,other
swe,HL,AM,,То  он  всё   равно  будет  недеется*@*  что  справится*@*  но  если  прочитать  етому  самому  солдату   смертельный  приговор*@*  то  он  с  ума  сойдёт*@*  или  заплачет.,что,изъяснение,гп,мест,null,и,null,3ед,мест null,null
kaz,HL,AM,,Когда  я  сообщила  эту  радостную  новость  родителям*@*  они  сказали*@*  что  гордятся  мной*@*  и  что  это  только  моя  заслуга!,что,изъяснение,гп,мест,null,и,null,3мн,мест null,null
eng,FL,AL,,По  проведенному  в  Великобритании  исследованию  в 2014- ом  году*@* 80%- ов  опрошенных  жён  сообщили*@*  что  занимаются  работой  по  дому*@*  т.  Е.  уборкой*@*  стиркой  и  глаженьем  чаще*@*  чем  мужья.,что,изъяснение,гп,сущ,мест,и,и,3мн,сущ мест,other
kaz,HL,IM,,Так   как  я  учитель  я  на  уроке  задала  вопрос  седьмому  классу “ Какую  книгу   вы  читаете?”  услышав   ответ*@*  я  удивилась  они   признались*@*  что  они   не  читают  книгу*@*  конечно*@*  дети  они  и  в  Африке  дети*@*  им  гораздо  проще  послушать  аудиокнигу  или  посмотреть   фильм  из   интернета*@*   наверно   стоит  родителям   направить   их   ребенка*@*  проконтралировать*@*  ведь   чтение  делает  их  более  чуткими*@*  исследователи   показывают*@* что*@*  проникаясь   художественным   произведением*@*   человек   учится   сочувствию   и   эмоциональному   пониамию   другого   человека  в  реальной  жизни*@*  чтение   улучает   функционирование   мозга  и  наконец- то  делает  их  грамотными.,что,изъяснение,гп,мест,мест,и,и,3мн,мест мест,other
eng,FL,IH,,А  для  него  хуже  всего*@*  когда  люди  на  самом  деле  думают*@*  что  они  понимают  политическое  положение*@*  и  делают  свой  выбор  в  полной  уверенности  в  правильности  своего  выбора.,что,изъяснение,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,IH,,Теперь  влияние  так  называемых  интеллигентов  наверно  сократилось*@*  но  они  бы  говорили*@*  что  по  крайнейшей  мере  в  девятнадцатом  веке  они  играли  основную  роль  в  жизни  страны.,что,изъяснение,гп,мест,мест,и,и,3мн,мест мест,other
eng,FL,IH,,По  моему  мнению  царь  бы  пытался  отрицать  их  значение*@*  пока  крестьяне  бы  утверждали*@*  что  они  как  группа  мыслителей  почти  не  оказывала  никакого  влияния  на  их  жизнь.,что,изъяснение,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,IH,,Некоторые  интеллигенты  бы  говорили*@*  что  именно  из-за  этой  разлуки  они  могли  логично  и  справедливо  оценивать  какой  путь  самый  лучший  для  страны.,что,изъяснение,гп,сущ,мест,и,и,3мн,сущ мест,other
jap,FL,AL,,Я  хочу*@*  чтобы  зритери  чувствуют*@*  что  они  тоже  путешествовают  в  то  же  время.,что,изъяснение,гп,сущ,мест,и,и,3мн,сущ мест,other
ger,FL,AH,,Особенно  молодые  люди  с  северной  Африки*@*  которые  делают  вид*@*  что  они  сирийцы*@*  или  банды  воров  из  Юго-Восточной  Европы  угрожают  безопасности  в  Германии.,что,изъяснение,гп,д_мест,мест,и,и,3мн,д_мест мест,other
fin,HL,Other,,Многие  люди  замечают  за  собой*@*  что  каждый  день  они  чувствуют  себя  по-разному.,что,изъяснение,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,HL,Other,,Она  сказала*@*  что  с  радостью  будет  приглашать  меня  заменят  уроки  если  понадобиться.,что,изъяснение,гп,мест,null,и,null,3ед,мест null,null
fin,FL,AM,,Она  говорит*@*  что  возможно  она  хочеть  стать  архитектором.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
fin,FL,AM,,Мама  ему  сказала*@*  что  она  не  знает  как  помочь  ему  с  уроками.,что,изъяснение,гп,сущ,мест,и,и,3ед,сущ мест,other
fin,FL,AM,,Борис  думал*@*  что  сошёл  с  ума.,что,изъяснение,гп,сущ,null,и,null,3ед,сущ null,null
fin,FL,AM,,Он  подумал  минуточку  и  решил*@*  что  он  не  может  ничего  делать  так  поздно  вечером.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
fin,FL,AM,,В  том  время  она*@*  Хейди*@*  была  в  Ирландии  но  сказала*@*  что  возвращает  в  Финляндию  через  месяц.,что,изъяснение,гп,мест,null,и,null,3ед,мест null,null
fr,FL,B1,,Туда  была  тоже  конфрантация  с  директором  университета  Петербурга  и  он  заявил  что  он  хочет  развивать  отношения  с  мировными  университетами  и  развивать  число  иностранных  студентов.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
fin,HL,Other,,Конечно  у  нас  должны  быть  какие-то  цели  в  жизни*@*  но  многие  люди  думают*@*  что  как  только  они  что-то  достигнут ( это  может  быть*@*  например*@*  машина*@*  кокая- то  должность  или  брак)*@*  то  тогда  они  будут  счастливы.,что,изъяснение,гп,сущ,мест,и,и,3мн,сущ мест,other
fr,FL,A2,,На  десерт  моя  сестра  мне  уже  сказала  что  она  хочет  приготовить  пироги  за  день  рождения  брата.,что,изъяснение,гп,сущ,мест,и,и,3ед,сущ мест,other
fr,FL,A2,,Сказает  что  создавает  новый  систем  образования  для  учить  языки*@*  на  интересной  выставка.,что,изъяснение,гп,null,null,null,null,3ед,null null,null
ger,FL,IL,,Вдруг  он  вспоминает*@*  что  он  забыл  об  одном  подарке  и  уходит  на  ярмарку.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
ger,FL,IL,,Он  улыбается  и  говорит*@*  что  она  во  сне  разговаривает*@*  подразумевая*@*  что  он  сам  устроил  все  эти  рождественские  чудеса.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
nor,FL,IH,,Она  говорит*@*  что  она  никогда  не  слышала  о  такой  машине.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
nor,FL,IH,,Они  рассмеются*@*  когда  он  понимает*@*  что  она  шутила*@*  когда  она  сказала*@*  что  она  никогда  не  слышала  о  Бентли.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
nor,FL,IH,,Максим  и  Полина  только  что  говорили*@*  что  они  хотят*@*  чтобы  внуки  путешествовали  со  ними  во  фургоне  летом  в  следующем  году.,что,изъяснение,гп,сущ,мест,и,и,3мн,сущ мест,other
nor,FL,IH,,Она  понимала*@*  что  она  будет  путешествовать  с  любимыми  бабушкам  и  дедушкам.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
fin,HL,C1,,Один  из  них*@*  начинает  писать  стихи*@*  другой –  можем  сказать*@*  главный  герой*@*  Нил*@*  понимает  что  он  актер. –,что,изъяснение,гп,сущ,мест,и,и,3ед,сущ мест,other
kaz,HL,IM,,Сейчас  в  это  время  многие  люди  говорят  что  они  честные*@*  почему  так  все  несправедливо   происходит  и. т. д   Но  люди  не  задумываются  о  своей  несправедливости  по  отношению  к  другим  людям*@*  их  тревожат   тока  свои  справедливости.,что,изъяснение,гп,сущ,мест,и,и,3мн,сущ мест,other
fr,FL,A2,,Он  тоже  думает*@*  что  он  будет  оступлевать  в  университету.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
kaz,HL,IL,,Услышав*@*  что  она  серьезно  болен*@*  она  хотела  провести  последние  несколько  месяцев  наслаждаясь  жизнью.,что,изъяснение,гпг,мест,мест,и,и,3ед,мест мест,other
kaz,HL,IL,,Спустя  месяц*@*  она  обманывает  его*@*  что  уезжает  учиться  за  границей.,что,изъяснение,гп,мест,null,и,null,3ед,мест null,null
swe,FL,IH,,Но  от  реакции  органов  безопасности*@*  он  понял  что  он  больше  нет  желателен  в  Узбекистане.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
jap,FL,B1,,Он  писал  мне*@*  что  он  был  в  Японии*@*  чтобы  осмотреть.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
chi,FL,B1,,Но  сын*@*  мне  кажется*@*  считает*@*  что  он  не  может  стоять  перед  отцом*@*  если  он  не  совершит  большое  дело.,что,изъяснение,гп,сущ,мест,и,и,3ед,сущ мест,other
chi,FL,C2,,Он  вдруг  понял*@*  что  он  не   хочет  такой  образ  жизни*@*  что  он  не  может  потерять  свою  мечту*@*  и  потому  он  принял  решение  и  выходил  из  дому.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
swe,FL,IH,,И  она  знала*@*  что  она  уже  все  это  видела*@*  и  сейчас  ей  надо  было  вспомнить.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
swe,FL,IH,,Там  было  много  людей*@*  некоторые  учителя  с  женами*@*  много  молодежи*@*  и  седовласый  старик  который  утверждал*@*  что  он  знал  мужа  Ольги  Робертовны  Сергея  Ивановича  до  его  ссылки  в  Вологду*@*  и  что  встречал  его  несколько  раз  в  тысяча  девятьсот  двенадцатом  году.,что,изъяснение,гп,д_мест,мест,и,и,3ед,д_мест мест,other
swe,HL,IL,,Если  бы  в  наше  время  дети  в  шведских  детских  садах  должны  говорить*@*  что  играют &quot$@$ мать*@*  отец*@*  ребёнок&quot$@$*@*  я  совсем  не  уверен.,что,изъяснение,гп,сущ,null,и,null,3мн,сущ null,null
jap,FL,B1,,Один  человек  сказал*@*  что  он  смог  познакомиться  со  своими  сестрами*@*  которые  живут  на  друим  районе.,что,изъяснение,гп,сущ,мест,и,и,3ед,сущ мест,other
jap,FL,B1,,Одна  ответила*@*  что  она  может  познакомиться  жителями  на  Дальнем  Востоке*@*  которых  она  никогда  не  видела.,что,изъяснение,гп,сущ,мест,и,и,3ед,сущ мест,other
jap,FL,B1,,Один  ответил*@*  что  ему  нравится  посылать  друг  другу  фотографии*@*  музыку*@*  фильмы*@*  и  так  далее.,что,изъяснение,гп,сущ,мест,и,д,3ед,сущ мест,other
jap,FL,B1,,Моя  мама  сказала  что  она  не  верит  такую  информацию.,что,изъяснение,гп,сущ,мест,и,и,3ед,сущ мест,other
chi,FL,C2,,Если  сын  говорит  ему  глаза  в  глаза  то*@*  что  он  не  может  остаться*@*  отец  обязательно  огорчается.,что,изъяснение,гп,сущ,мест,и,и,3ед,сущ мест,other
kaz,HL,IH,,Есть  немало  традиций*@*  которым  мы  следуем:  как  правильно  одеваться*@*  уважать  старших  и  т. д.  Когда  мы  следуем  нашей  традиций*@*  мы  уверенны*@*  что  мы  делаем  все  правильно.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
ita,FL,B1,,С  этим  подарком  он  мне  дал  сигнал*@*  что  он  придаёт  мне  так  много  значения  как  он  его  придаёт  природе.,что,изъяснение,гп,мест,мест,и,и,3ед,мест мест,other
swe,FL,IH,,Курящие*@*  осознавая  это*@*  надеются*@*  что  сами  избегают  ужасные  травмы.,что,изъяснение,гп,сущ,null,и,null,3ед,сущ null,null
eng,FL,IH,2012-2013,И в этом компоненте Россия продолжает занимать важное место*@* {{так}} {{как}} является основным поставщиком топлива для европейского региона.,так как,причина,гп,сущ,null,и,null,3ед,сущ null,null
eng,HL,AM,2009-2010,По мнению Ирины Хакамада*@* Екатерина 2 была лидером*@* {{так}} {{как}} принимала решения*@* используя данные ей советы.,так как,причина,гп,сущ,null,и,null,3ед,сущ null,null
eng,FL,IH,2011-2012,{{Так}} {{как}} они имели в виду*@* чтобы ликвидировать дефицит электроэнергии в регионе*@* они полностью поддержали строительство АЭС.,так как,причина,п_г,мест,мест,и,и,3мн,мест мест,other
eng,HL,IM,2008,Как сказали врачи позже её родители тоже переживали своего рода*@* {{так}} {{как}} они переехали из маленького города им было также страшно в Москве*@* но я считаю что это совсем не повод чтобы срываться на ребенке.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,HL,IM,2008,Пожелой мужчина сидит на раскошном диване в шолковом костюме*@* его окружают двенадцать кошек и он одну кормит из блюдца*@* {{так}} {{как}} он разговаривает с молодой девушкой каторая в шолковом жолтом платье*@* молоко льётся на него.,так как,причина,гп,мест,мест,и,и,3ед,мест мест,other
eng,HL,AM,2009-2010,Гостиница отличается своей уникальностью*@* {{так}} {{как}} может предложить постояльцам не только интерьеры из натурального дерева*@* но и специалные номера комфортности с выходом в Интернет*@* комнаты с новейшим компьютерным оборудованием*@* что позволяет создать рабочее место прямо в номере.,так как,причина,гп,сущ,null,и,null,3ед,сущ null,null
eng,FL,AM,2012-2013,Данная статья очень своевременна*@* {{так}} {{как}} обращается к актуальной теме коммерциализации и глобализации российского общества ХХІ в.,так как,причина,гп,сущ,null,и,null,3ед,сущ null,null
eng,HL,AM,2009-2010,Описывая культуру и быт женщин 18-го - 19-го вв*@* лектор описывает то*@* что уже было*@* что легло в основу истории России*@* {{так}} {{как}} является неотемлемой частью русского народа.,так как,причина,гп,д_мест,null,и,null,3ед,д_мест null,null
eng,HL,IM,2008,Старушка очень удивилась*@* {{так}} {{как}} также как и старик жила она одна и никого в округе не знала и не видела.,так как,причина,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2009,Некоторые ученые считают*@* что геополитика это как судьба*@* {{так}} {{как}} геополитика зависит от географической среды*@* и геополитическое положение страны как правило неизменный фактор.,так как,причина,гп,сущ,сущ,и,и,3ед,сущ сущ,other
eng,HL,AM,2009-2010,Он оказался самым быстродействующем антибиотиков во время Второй Мировой войны*@* {{так}} {{как}} в короткое время помогал приостановить процесс заражения*@* с легкостью лечил гнойные раны и тяжелые ожоги.,так как,причина,гп,мест,null,и,null,3ед,мест null,null
eng,FL,AL,2010-2011,Отец писателя*@* Владимир Дмитриевич Набоков*@* был юристом и активно участвовал в политике*@* {{так}} {{как}}*@* он был одним из лидеров партии конституционных демократов кадетов).,так как,причина,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2010-2011,Следует подчеркнуть*@* что такого типа модель экономики не устойчивая*@* {{так}} {{как}} она постоянно таит в себе опасность*@* связанная с мировыми колебаниями цен на нефть и газ.,так как,причина,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,IH,2010,{{Так}}*@* {{как}} он сам был матросом на Тихоокеанском флоте он делится своим опытом с нами будто мы сами*@* когда-то были матросами.,так как,причина,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,AL,2011-2012,С другой стороны*@* такие мигранты могут помочь компаниям и*@* наверное*@* стимулировать экономию*@* {{так}} {{как}} они обычно работают в стране*@* куда они переезжают*@* и не требуют большой зарплаты – т.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,HL,AL,2011-2012,Человек не может жить без друзей {{так}} {{как}} человек не может быть все гда один.,так как,причина,гп,сущ,сущ,и,и,3ед,сущ сущ,other
eng,HL,IH,2009-2010,Лекарство сейчас очень дорогое*@* {{так}} {{как}}*@* оно все импортное.,так как,причина,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2009-2010,Однако*@* как считают авторы*@* россияне не были готовы к тому*@* что они увидели*@* {{так}} {{как}} они не были знакомы с современным искусством Запада.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,HL,AL,2009,Лотман рассказывает о том*@* что женщины брили головы на лысо*@* {{так}} {{как}} носили парики.,так как,причина,гп,сущ,null,и,и,3мн,сущ null,null
eng,HL,AM,2009-2010,Он оказался самым быстродействующим антибиотиком*@* {{так}} {{как}} в короткое время помогал приостановить процесс заражения*@* с легкостью лечил раны и ожоги.,так как,причина,гп,мест,null,и,null,3ед,мест null,null
eng,HL,AL,2010-2011,При этом*@* он считает что наука подвергается ошибкам*@* {{так}} {{как}} она полагается на человеческие способности*@* а не на сущность мира.,так как,причина,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2009-2010,Однако*@* как считают авторы*@* россияне не были готовы к тому*@* что они увидели*@* {{так}} {{как}} они не были знакомы с современным искусством Запада.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,AL,2011-2012,{{Так}} {{как}} Толстая работала в университете*@* она разговаривала больше всего с интеллигентными людьми*@* которые очень приятные и не любят обижать других.,так как,причина,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2010-2011,В последний состав таблицы ИРЧП впервые включена Микронезия*@* а Зимбабве включена в нее повторно*@* {{так}} {{как}} она была исключена в 2009 году*@* потому что статистические данные о доходе отсутствовали.,так как,причина,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,AM,2012-2013,В целом термины более доступны неспециалистам и новичкам*@* чем профессионализмы*@* {{так}} {{как}} термины точно и ясно описывают специальные концепции.,так как,причина,гп,сущ,сущ,и,и,3мн,сущ сущ,other
eng,FL,AM,2012-2013,Термины разъясняют идеи специалиста*@* а профессионализмы их затемняют*@* {{так}} {{как}} они служат более социальной цели.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,AL,2012-2013,Эмоция*@* {{так}} {{как}} она часто затмевает разум*@* применяется в политическом пропаганде тоталитарных режимов.,так как,причина,гпг,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2010-2011,Покинули Россию они добровольно*@* {{так}} {{как}} хотели работать на себя*@* владеть землей.,так как,причина,гп,мест,null,и,null,3мн,мест null,null
eng,HL,AL,2009,{{Так}} {{как}} Челлен был политологом он считал что эконополитика*@* демолитика*@* социополитика*@* кратополитика*@* и геополитика взаимосвязаны между собой.,так как,причина,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,AL,2009,Крупные города находятся в выгодным и уникальным положении*@* {{так}} {{как}} они расположены на пересечении важнейших коммуникаций*@* что создает хорошие условия для социально-экономического развития.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,HL,AM,2012,На мой взгляд*@* это является большой проблемой*@* {{так}} {{как}} негативно влияет на развитие страны.,так как,причина,гп,д_мест,null,и,null,3ед,д_мест null,null
eng,HL,AL,2009-2010,В итоге*@* я считаю что негосударственные экологические организации необходимы для Устойчивого Развития планеты*@* {{так}}- {{как}} они озабоченны актуальным решением экологических проблем*@* а не политикой*@* как многие государственные организации.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,AL,2012-2013,Данная работа очень своевременна*@* {{так}} {{как}} обращается к спорной теме в области философии и вносит свой уникальный вклад в обсуждение этой темы.,так как,причина,гп,сущ,null,и,null,3ед,сущ null,null
eng,FL,IM,2010-2011,{{Так}} {{как}} крестьяне*@* включая их детей*@* работали на заводах и служили в армии*@* они не имели возможности получить образование.,так как,причина,пг,мест,сущ,и,и,3мн,мест сущ,other
fr,FL,A1,,Однако*@*  {{так }} {{как }} она  была  безответственно  матерью*@*  однажди  она  попросила  своей  девочке  отнести  к  бабушке  хлеб*@*  масло  и  вино.,так как,причина,гп,мест,мест,и,и,3ед,мест мест,other
ger,FL,B1,,{{Так }} {{как }} играть  в  кубики  ему  очень  нравилось*@*  он  тратил  на  это  много  времени.,так как,причина,пг,мест,мест,и,д,3ед,мест мест,other
ger,FL,B1,,{{Так }} {{как }} мать  тоже  устала*@*  она  отодвинула  о  кровати*@*  и  поцеловал  сына.,так как,причина,пг,мест,сущ,и,и,3ед,мест сущ,other
ger,FL,Other,,{{Так }} {{как }} он  безработный*@*  он  много  спит  или  помогает  матери.,так как,причина,пг,мест,мест,и,и,3ед,мест мест,other
kor,FL,Other,,Для  Мастера  трусость  значит  смерть*@*  {{так }} {{как }} трусость  является  самым  тяжелым  грехом  в  его  романе.,так как,причина,гп,сущ,сущ,и,и,3ед,сущ сущ,other
kor,FL,Other,,Живаго  добивается  превосходства  над  Мастером  в  нравственности*@*  {{так }} {{как }} он  продолжает  писать  правдиво  в  трудном  внешнем  состоянии.,так как,причина,гп,сущ,мест,и,и,3ед,сущ мест,other
kor,FL,Other,,Исключение  составляют  возвратнчые  глаголы  и  глаголы  в  пассивной  форме*@*  {{так }} {{как }} они  направляют  действие  или  его  результат  в  сторону  субъекта*@*  тем  самым  ослабляя  активность  субъекта.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
kaz,HL,IM,,Они  способны  вести  нас  по  жизни  и  учить*@*  как  правильнее  поступать  в  этой  жизни*@*  {{так }} {{как }} они  видели  на  своём  веку  гораздо  больше.,так как,причина,гп,мест,мест,и,и,3мн,мест мест,other
kaz,HL,AL,,Мои  бабушки  всегда  учат  меня  как  правильнее  поступить  в  этой  жизни*@*  {{так }} {{как }} они  уже  многое  повидали  на  своем  веку.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
kaz,HL,AL,,{{Так }} {{как }} они  обе  были  учителями*@*  они  с  самого  раннего  дества  были  моими  личными  сказочниками*@* пели  мне  песни*@*  вкусно  кормили  меня*@* баловали  и  всегда  старались  воспитать  во  мне  самые  лучшие  качества.,так как,причина,пг,мест,мест,и,и,3мн,мест мест,other
fr,HL,C1,,{{Так }} {{как }} он  дописал  его*@*  он  начал  спрашивать  меня  о  моей  последней  поезке.,так как,причина,пг,мест,мест,и,и,3ед,мест мест,other
fr,HL,C2,,Все  эти  языки  похожи*@*  {{так }} {{как }} просходят  от  языка  единого  славянского  народа.,так как,причина,гп,сущ,null,и,null,3мн,сущ null,null
kaz,HL,IL,,Он  всегда  советы  давал*@*  помогал  мне  во  всем  и  заботился*@*  {{так }} {{как }} он  был  старше  меня*@*  я   слушала  своего  друга  и  делилась  со  всеми  своими  тайнами  и  секретами.,так как,причина,г_п,мест,мест,и,и,3ед,мест мест,other
kaz,HL,IL,,Незнаю  из- зи  кого  она  говорит*@*  что  я  изменилась  в  последнее  время  все  время  ее  ругаю*@*  грубо  разговариваю*@*  а  мне  кажется  что  она  просто  ревнует  меня  из- зи  того  что  я  общаюсь  с  другими  девушками  как  подруги  {{так }} {{как }} она  очень  ревнивая  и  не  хочет  делить  свое  с  другими.,так как,причина,г_п,мест,мест,и,и,3ед,мест мест,other
ger,FL,B2,,Решив*@*  что  им  надо  новый  аппарат*@*  Таня  и  Лара  побежали  в  магазин*@*  {{так }} {{как }} отдыхать  без  фильма  и  новостийной  передачи  они  не  хотели.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,HL,C2,,Он  начил  подделовать  шеки*@*  и  {{так }} {{как }} он  очень  симпотичный*@*  он  ходил  в  банк  к  женьщинам  менять  шеки  на  деньги.,так как,причина,пг,мест,мест,и,и,3ед,мест мест,other
fin,HL,C2,,{{Так }} {{как }} он  уже  был  мастером  по  подделкам*@*  он  сделал  себе  диплом  врача.,так как,причина,пг,мест,мест,и,и,3ед,мест мест,other
fin,HL,C2,,Но  {{так-}} {{как }} он  понимает*@*  что  Леонардо  очкень  умный  и  он  может  пригодится  в  полицейских  делах*@*  он  придлагает  ему  работу  как  специалист  по  подделкам.,так как,причина,п_г,мест,мест,и,и,3ед,мест мест,other
fin,HL,C2,,Хотя  миссис  Сэвидж  совершенно  трезва  и  умна*@*  она  предпочитает  жить  с  этими  людьми*@*  {{так }} {{как }} видит*@*  что  они  очень  добры*@*  и  девушка  с  хвостиком / я  не  помню  как  ее  зовут/  и  женщина  с  куклой  они  все  вызывают  только  симпатию*@*  в  отличие  от   тех*@*  которые  отдали  ее  бедняжку  в  ” дурдом”.,так как,причина,гп,мест,null,и,null,3ед,мест null,null
kaz,HL,IL,,{{Так }} {{как }} моя  мама  врач  она  сразу  же  успокила  меня  и  начала  предпринимать  меры  первой  экстренной  помощи.,так как,причина,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,HL,B2,,Кроме  любопытности  россияни  эдут  в  Финляндию  за  покупками*@*  {{так }} {{как }} они  ценят  высоко  финский –  и  вообще  европейский –  товар.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,HL,B2,,Нам  было  намеренно  сделать  бабушке  ремонт  в  квартире*@*  потому  что  она  собирается  менять  квартиру  на  меньше*@*  {{так }} {{как }} уже  старая  и 4  комнаты  ей  с  лишком  много.,так как,причина,гп,мест,null,и,null,3ед,мест null,null
fin,HL,B2,,Уже  в  школе  он  решил  изучать  русский  язык*@*  {{так }} {{как }} считал*@*  что  от  него  будет  много  пользы.,так как,причина,гп,мест,null,и,null,3ед,мест null,null
fin,HL,B2,,Югославия*@*  кстати*@*  была  четвертым  по  величине  центром  русской  эмиграции*@*  и  пожалуй*@*  самым  провинциальным*@*  {{так }} {{как }} состояла  она  в  основном  из  военных.,так как,причина,гп,сущ,null,и,null,3ед,сущ null,null
fin,HL,B2,,Но  старые  люди  любят  больше  бумажные  книги*@*  {{так }} {{как }} они  привыкли  к  ним.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,HL,B2,,{{Так }} {{как }} он  меня  почти  на  пять  лет  старше*@*  он  меня  ещё  научил  быт  более  ответственной.,так как,причина,пг,мест,мест,и,и,3ед,мест мест,other
fin,HL,B2,,Особенно  дети  любят  зиму*@*  {{так }} {{как }} они  могут  спускаться  с  горы  на  санках  и  играть  в  снежки.,так как,причина,гп,сущ,мест,и,и,3мн,сущ мест,other
